,top30_12m_ret
2020-02-28,-0.05050179605007974
2020-03-31,-0.09683140924220138
2020-04-30,0.15952149836487423
2020-05-29,0.08968361025982442
2020-06-30,0.058109821850939526
2020-07-31,0.0979567101933897
2020-08-31,0.09286849698797581
2020-09-30,-0.05186400051927837
2020-10-30,-0.03951952291481206
2020-11-30,0.1594664138984305
2020-12-31,0.04521829579603275
2021-01-29,-0.011608370328419037
2021-02-26,0.01772902456443977
2021-03-31,-0.020520719114927092
2021-04-30,0.03158478048778099
2021-05-31,0.029963184998192414
2021-06-30,0.018333665429685557
2021-07-30,-0.010420841435454685
2021-08-31,0.0416448929680327
2021-09-30,-0.03971944767153744
2021-10-29,0.0570891352624774
2021-11-30,-0.04691310722036056
2021-12-31,0.05720664771365617
2022-01-31,-0.08628210688221337
2022-02-28,0.04147067588283111
2022-03-31,0.061658912495970226
2022-04-29,-0.05886988552086669
2022-05-31,0.057015489346995976
2022-06-30,-0.1497215443963241
2022-07-29,0.04144341291977701
2022-08-31,0.03475723513691838
2022-09-30,-0.07633341254652809
2022-10-31,0.1743814837924497
2022-11-30,0.0037198854611030594
2022-12-30,-0.06614909467922146
2023-01-31,0.040027923619906654
2023-02-28,-0.04160752790425415
2023-03-31,0.02212812792291737
2023-04-28,0.0013455871588169827
2023-05-31,-0.05119532658714127
2023-06-30,0.08427338731028235
2023-07-31,0.03404966699679011
2023-08-31,-0.03321069527870153
2023-09-29,-0.04668280801217348
2023-10-31,-0.021937115713465308
2023-11-30,0.15003059366845123
2023-12-29,0.04471926352142746
2024-01-31,0.07749331239008798
2024-02-29,0.10516772434792636
2024-03-29,0.08154428344322495
2024-04-30,-0.04376173586340677
2024-05-31,0.05353804442273383
2024-06-28,0.03838144543110758
2024-07-31,0.007238349737659468
2024-08-30,0.046273751052379505
2024-09-30,0.04983899713799045
2024-10-31,0.01280003289498498
2024-11-29,0.08470302712382594
2024-12-31,0.013715932950526658
2025-01-31,0.058305947617496696
2025-02-28,-0.053531620959106054
2025-03-31,-0.08255249561825674
2025-04-30,0.02022992041269672
2025-05-30,0.05119636015039538
2025-06-30,0.09174943640882667
2025-07-31,0.049922796383183116
2025-08-29,0.011851216846278668
2025-09-30,0.044206100721660195
